brand,year,kms,city,seats,power,transmission,fuel,doors,consumption,acceleration,max_speed,price,url,rating
BMW,2004,112000,Madrid,5,204,Manual,Diesel,4,7.7,7.4,235.0,9990,https://www.coches.net/bmw-serie-3-330d-diesel-2004-en-madrid-52724613-covo.aspx,4
VOLKSWAGEN,2009,175000,A Coruña,4,200,Automático,Gasolina,3,7.6,7.1,233.0,11500,https://www.coches.net/volkswagen-scirocco-20-tsi-200cv-dsg-3p-gasolina-2009-en-a_coruna-52770484-covo.aspx,3
MERCEDES-BENZ,2005,175000,Huelva,4,272,Automático,Gasolina,4,10.1,7.0,250.0,8500,https://www.coches.net/mercedes-benz-clase-cls-cls-350-4p-gasolina-2005-en-huelva-52770233-covo.aspx,3
BMW,2009,215000,Madrid,5,177,Manual,Diesel,4,5.4,8.0,228.0,8900,https://www.coches.net/bmw-serie-3-320d-4p-diesel-2009-en-madrid-52245662-covo.aspx,2
FORD,2009,184000,Madrid,5,175,Manual,Diesel,5,6.2,8.4,224.0,9990,https://www.coches.net/ford-mondeo-22-tdci-175-titanium-s-5p-diesel-2009-en-madrid-52616489-covo.aspx,2
HYUNDAI,2005,189000,Madrid,5,161,Manual,Gasolina,4,8.5,8.9,212.0,4990,https://www.coches.net/hyundai-sonata-24-style-gasolina-2005-en-madrid-52629596-covo.aspx,1
SKODA,2009,234000,Madrid,5,170,Manual,Diesel,5,5.7,8.4,225.0,7499,https://www.coches.net/skoda-octavia-20-tdi-dpf-rs-5p-diesel-2009-en-madrid-52769442-covo.aspx,1
AUDI,2010,204790,Cádiz,4,160,Manual,Gasolina,3,6.7,7.2,226.0,10990,https://www.coches.net/audi-tt-coupe-18-tfsi-3p-gasolina-2010-en-cadiz-52702188-covo.aspx,0
BMW,2002,348000,Cádiz,5,333,Automático,Gasolina,4,,6.3,250.0,5900,https://www.coches.net/bmw-serie-7-745il-4p-gasolina-2002-en-cadiz-52770219-covo.aspx,0
MERCEDES-BENZ,2004,260000,Salamanca,5,260,Automático,Diesel,4,9.4,6.9,250.0,4990,https://www.coches.net/mercedes-benz-clase-e-e-400-cdi-elegance-auto-4p-diesel-2004-en-salamanca-52769567-covo.aspx,2
MERCEDES-BENZ,2006,118000,Barcelona,4,204,Manual,Gasolina,3,9.2,8.2,236.0,8990,https://www.coches.net/mercedes-benz-clase-c-c-230-sportcoupe-3p-gasolina-2007-en-barcelona-51558742-covo.aspx,3
VOLKSWAGEN,2007,61500,Castellón,4,225,Automático,Diesel,4,9.6,9.1,234.0,12000,https://www.coches.net/volkswagen-phaeton-30-v6-tdi-4-plazas-4motion-tiptronic-4p-diesel-2007-en-castellon-52770183-covo.aspx,3
MINI,2011,180000,Sevilla,4,211,Manual,Gasolina,3,7.1,6.5,238.0,10990,https://www.coches.net/mini-mini-john-cooper-works-gasolina-2011-en-sevilla-52694907-covo.aspx,1
LEXUS,2008,283000,Asturias,5,249,Automático,Gasolina,4,9.6,7.2,240.0,8900,https://www.coches.net/lexus-gs300-premium-gasolina-2008-en-asturias-52770428-covo.aspx,0
MERCEDES-BENZ,2002,135000,Madrid,4,163,Manual,Gasolina,3,,9.7,227.0,2850,https://www.coches.net/mercedes-benz-clase-c-c-200-k-sportcoupe-gasolina-2003-en-madrid-52770177-covo.aspx,4
BMW,2008,175000,Pontevedra,4,177,Automático,Diesel,2,5.5,8.0,230.0,9900,https://www.coches.net/bmw-serie-3-320d-diesel-2008-en-pontevedra-52769702-covo.aspx,3
SEAT,2006,150000,A Coruña,5,180,Manual,Gasolina,3,7.9,7.3,230.0,7800,https://www.coches.net/seat-ibiza-18t-180cv-cupra-3p-gasolina-2006-en-a_coruna-51857717-covo.aspx,3
BMW,2007,202000,Barcelona,5,272,Automático,Gasolina,4,8.1,6.8,250.0,8600,https://www.coches.net/bmw-serie-5-530xi-4p-gasolina-2007-en-barcelona-52635986-covo.aspx,3
MERCEDES-BENZ,2003,259643,Alicante,5,177,Automático,Diesel,4,6.8,9.3,232.0,5950,https://www.coches.net/mercedes-benz-clase-e-e-270-cdi-elegance-4p-diesel-2003-en-alicante-52486086-covo.aspx,1
BMW,2006,159000,Girona,5,163,Automático,Diesel,4,6.9,8.7,223.0,9900,https://www.coches.net/bmw-serie-5-520d-diesel-2006-en-girona-52770093-covo.aspx,0
MERCEDES-BENZ,2007,435000,Córdoba,5,224,Automático,Diesel,4,7.6,6.8,250.0,8000,https://www.coches.net/mercedes-benz-clase-e-e-320-cdi-elegance-auto-4p-diesel-2007-en-cordoba-52769947-covo.aspx,0
CITROEN,2013,161000,Madrid,5,200,Manual,Gasolina,5,6.4,7.9,235.0,10990,https://www.coches.net/citroen-ds4-16-thp-200cv-sport-gasolina-2013-en-madrid-52748365-covo.aspx,2
AUDI,2008,239000,Madrid,4,190,Automático,Diesel,2,6.7,7.6,232.0,11490,https://www.coches.net/audi-a5-27-tdi-multitronic-2p-diesel-2008-en-madrid-52769643-covo.aspx,2
AUDI,2007,185000,Barcelona,4,200,Manual,Gasolina,3,7.7,6.6,240.0,11000,https://www.coches.net/audi-tt-coupe-20-tfsi-3p-gasolina-2007-en-barcelona-52769461-covo.aspx,2
AUDI,2006,260000,Málaga,5,170,Manual,Diesel,4,6.7,8.5,224.0,6500,https://www.coches.net/audi-a4-20-tdi-170cv-quattro-dpf-4p-diesel-2006-en-malaga-52769806-covo.aspx,1
